Time Interval,Edge 1,Edge 2,Edge 3,Edge 4,Edge 5,Edge 6,Edge 7,Edge 8,Edge 9,Edge 10,Edge 11,Edge 12,Edge 13,Edge 14,Edge 15,Edge 16,Edge 17,Edge 18,Edge 19
2024-06-03 06:00:00 - 2024-06-03 06:05:00,12,7,1,3,0,0,3,2,4,0,1,0,10,1,1,4,5,2,10
2024-06-03 06:05:00 - 2024-06-03 06:10:00,16,11,2,2,0,0,10,2,2,1,1,1,7,0,0,4,1,2,8
2024-06-03 06:10:00 - 2024-06-03 06:15:00,12,8,3,2,2,0,11,4,3,1,2,1,6,2,1,2,2,1,7
2024-06-03 06:15:00 - 2024-06-03 06:20:00,16,9,2,3,3,0,7,3,3,0,1,0,6,1,1,5,4,2,6
2024-06-03 06:20:00 - 2024-06-03 06:25:00,16,12,2,1,0,0,10,3,5,1,3,3,6,1,2,1,3,1,8
2024-06-03 06:25:00 - 2024-06-03 06:30:00,13,8,5,3,1,0,6,6,8,0,2,0,4,2,2,2,7,2,6
2024-06-03 06:30:00 - 2024-06-03 06:35:00,16,12,2,1,4,0,9,3,4,1,1,2,5,1,0,6,4,2,12
2024-06-03 06:35:00 - 2024-06-03 06:40:00,28,18,9,4,0,0,9,9,6,3,3,3,8,3,0,3,6,1,13
2024-06-03 06:40:00 - 2024-06-03 06:45:00,26,18,7,2,2,0,4,7,10,1,1,0,10,2,0,5,5,2,9
2024-06-03 06:45:00 - 2024-06-03 06:50:00,30,18,10,6,4,0,9,9,14,5,6,1,6,2,1,5,8,2,9
2024-06-03 06:50:00 - 2024-06-03 06:55:00,39,24,8,6,4,0,10,7,6,7,9,2,9,1,2,8,8,4,15
2024-06-03 06:55:00 - 2024-06-03 07:00:00,31,18,8,6,5,0,12,10,11,5,5,4,8,5,0,6,8,2,13
2024-06-03 07:00:00 - 2024-06-03 07:05:00,39,27,6,3,0,0,13,7,12,1,2,2,8,3,1,4,11,2,11
2024-06-03 07:05:00 - 2024-06-03 07:10:00,32,21,9,3,6,0,16,12,11,2,3,4,12,6,1,5,12,2,15
2024-06-03 07:10:00 - 2024-06-03 07:15:00,37,25,8,3,6,0,10,10,12,7,9,3,14,5,2,9,9,4,17
2024-06-03 07:15:00 - 2024-06-03 07:20:00,38,22,9,7,4,0,15,9,14,8,15,3,13,2,7,7,15,5,21
2024-06-03 07:20:00 - 2024-06-03 07:25:00,26,16,11,4,2,0,14,11,7,3,6,1,9,3,3,8,12,4,15
2024-06-03 07:25:00 - 2024-06-03 07:30:00,36,23,10,5,1,0,15,9,17,3,3,4,21,1,0,8,11,3,17
2024-06-03 07:30:00 - 2024-06-03 07:35:00,27,15,8,6,3,0,7,9,12,5,8,6,9,3,3,3,11,2,27
2024-06-03 07:35:00 - 2024-06-03 07:40:00,36,24,9,4,5,0,17,9,14,3,5,1,11,3,2,5,6,3,20
2024-06-03 07:40:00 - 2024-06-03 07:45:00,47,30,11,6,5,0,15,12,17,3,8,5,12,5,5,4,25,3,26
2024-06-03 07:45:00 - 2024-06-03 07:50:00,49,33,9,4,2,0,28,12,27,8,9,6,15,6,1,3,21,2,31
2024-06-03 07:50:00 - 2024-06-03 07:55:00,30,21,10,2,5,0,15,10,14,6,11,0,17,3,5,13,17,6,26
2024-06-03 07:55:00 - 2024-06-03 08:00:00,37,25,6,3,2,0,11,6,17,7,12,9,9,2,5,13,10,6,19
2024-06-03 08:00:00 - 2024-06-03 08:05:00,41,24,8,7,6,0,19,9,21,7,10,4,11,4,3,4,24,3,21
